26-03-2024 00:16:28.551 [main] INFO  c.t.d.s.DevicestatusServiceTest.logStarted - Started DevicestatusServiceTest in 0.455 seconds (process running for 2.939)
26-03-2024 00:16:28.575 [main] INFO  c.t.d.service.DevicestatusService.getRoaming - El usuario está en roaming en Spain
26-03-2024 00:16:28.580 [main] INFO  c.t.d.service.DevicestatusService.getRoaming - No se ha encontrado el cliente con MSISDN, no se puede devolver el estado de roaming: +34623456701
26-03-2024 00:19:41.673 [background-preinit] INFO  o.h.validator.internal.util.Version.<clinit> - HV000001: Hibernate Validator 8.0.1.Final
26-03-2024 00:19:41.688 [main] INFO  c.t.d.c.DevicestatusControllerTest.logStarting - Starting DevicestatusControllerTest using Java 17.0.10 with PID 527397 (started by alejandro in /home/alejandro/TFM/devicestatus)
26-03-2024 00:19:41.689 [main] INFO  c.t.d.c.DevicestatusControllerTest.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
26-03-2024 00:19:43.010 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext.log - Initializing Spring TestDispatcherServlet ''
26-03-2024 00:19:43.011 [main] INFO  o.s.t.w.s.TestDispatcherServlet.initServletBean - Initializing Servlet ''
26-03-2024 00:19:43.012 [main] INFO  o.s.t.w.s.TestDispatcherServlet.initServletBean - Completed initialization in 0 ms
26-03-2024 00:19:43.027 [main] INFO  c.t.d.c.DevicestatusControllerTest.logStarted - Started DevicestatusControllerTest in 1.574 seconds (process running for 2.224)
26-03-2024 00:19:43.209 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils.detectDefaultConfigurationClasses - Could not detect default configuration classes for test class [com.tfm.devicestatus.service.DevicestatusServiceTest]: DevicestatusServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
26-03-2024 00:19:43.220 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.getOrFindConfigurationClasses - Found @SpringBootConfiguration com.tfm.devicestatus.DevicestatusApplication for test class com.tfm.devicestatus.service.DevicestatusServiceTest
26-03-2024 00:19:43.341 [main] INFO  c.t.d.s.DevicestatusServiceTest.logStarting - Starting DevicestatusServiceTest using Java 17.0.10 with PID 527397 (started by alejandro in /home/alejandro/TFM/devicestatus)
26-03-2024 00:19:43.341 [main] INFO  c.t.d.s.DevicestatusServiceTest.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
26-03-2024 00:19:43.676 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext.log - Initializing Spring TestDispatcherServlet ''
26-03-2024 00:19:43.676 [main] INFO  o.s.t.w.s.TestDispatcherServlet.initServletBean - Initializing Servlet ''
26-03-2024 00:19:43.677 [main] INFO  o.s.t.w.s.TestDispatcherServlet.initServletBean - Completed initialization in 1 ms
26-03-2024 00:19:43.682 [main] INFO  c.t.d.s.DevicestatusServiceTest.logStarted - Started DevicestatusServiceTest in 0.357 seconds (process running for 2.879)
26-03-2024 00:19:43.703 [main] INFO  c.t.d.service.DevicestatusService.getRoaming - El usuario está en roaming en Spain
